idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000415609475,COc1cc(NC(=O)C(=O)NC2CNCCC2C)cc(OC)c1Cl,12.959140,3.208329,3.546585,598,24,472,38.266000,9
ZINC000409508614,CCCc1c(NC(=O)C(=O)NC2CC2c2ccccc2)cnn1-c1cccc(C)c1,67.458076,3.208188,4.395152,1058,30,652,51.195000,12
ZINC000331640869,O=C(NCCC1CCCNC1)C(=O)N1CCN2CCCCC2C1,12.986812,3.207525,4.657403,422,26,433,42.510000,9
ZINC000085407715,CCC(NC(=O)N(CCCO)C1CCc2ccccc21)c1ccncc1,73.497032,3.207508,4.295548,720,23,529,48.263000,10
ZINC000164136188,CC(Nc1ccc(F)cc1C#N)C1CCOC1,40.709171,3.207431,3.152470,435,20,373,34.210000,7
ZINC000439247459,O=C(NCC(c1cccs1)N1CCCC1)N(CCc1ccccc1)C1CCOC1,93.805598,3.207391,4.416073,740,28,571,49.510000,11
ZINC000289943736,CCC1(CNC(=O)C(=O)Nc2ccc(F)nc2)OCCc2ccccc21,35.974642,3.207323,3.759328,809,25,551,41.941000,10
ZINC000451119633,CC(c1ccc(F)cc1)N1CCCC(C)(F)C1,12.223488,3.207153,3.558183,372,15,352,34.948000,7
ZINC000413738148,COc1ccccc1CN(CC1CCCO1)C(=O)NCC(C)CC(F)(F)F,87.976725,3.207115,4.000244,604,22,472,47.190000,10
ZINC000465764114,CC(CNC(=O)NC1CCN(C(C)c2ccccc2)C1)CN1CCN(C)CC1,74.107090,3.206739,4.315859,602,26,525,52.560000,11
ZINC000412059898,COC(=O)C(c1ccccc1Cl)N1CCCC(C)(C(=O)OC)C1,45.018255,3.206710,3.254769,591,22,451,39.397000,9
ZINC000114163703,CSCCC(NC(=O)c1cc2ccccn2c1)c1nnc2ccccn12,76.505236,3.206641,3.732917,1021,27,584,41.511000,10
ZINC000535346481,CC1(CCc2ccccc2)CCN(C(=O)NCC2CC(=O)N(Cc3ccccc3)C2)C1,56.759127,3.206636,4.233518,886,29,631,52.651000,12
ZINC000427154372,O=C(c1cc2c(F)cc(Br)cc2[nH]1)N1CC2CCCCC2C1,35.153528,3.206313,3.462368,727,27,529,43.547000,9
,O=C(Nc1cccc2[nH]c(=O)oc12)C1CCCOC1c1ccccc1,38.277030,3.206188,3.309940,944,30,595,40.596000,10
